Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Somalia,5.152149,46.199616,2020-01-22,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-23,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-24,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-25,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-26,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-27,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-28,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-29,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-30,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-01-31,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-01,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-02,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-03,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-04,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-05,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-06,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-07,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-08,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-09,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-10,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-11,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-12,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-13,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-14,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-15,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-16,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-17,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-18,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-19,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-20,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-21,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-22,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-23,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-24,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-25,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-26,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-27,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-28,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-02-29,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-01,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-02,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-03,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-04,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-05,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-06,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-07,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-08,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-09,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-10,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-11,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-12,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-13,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-14,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-15,0,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-16,1,0,", Somalia",15893222.0,1,0,0,0
,Somalia,5.152149,46.199616,2020-03-17,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-18,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-19,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-20,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-21,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-22,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-23,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-24,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-25,1,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-26,2,0,", Somalia",15893222.0,1,0,0,0
,Somalia,5.152149,46.199616,2020-03-27,3,0,", Somalia",15893222.0,1,0,0,0
,Somalia,5.152149,46.199616,2020-03-28,3,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-29,3,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-30,3,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-03-31,5,0,", Somalia",15893222.0,2,0,0,0
,Somalia,5.152149,46.199616,2020-04-01,5,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-04-02,5,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-04-03,7,0,", Somalia",15893222.0,2,0,0,0
,Somalia,5.152149,46.199616,2020-04-04,7,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-04-05,7,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-04-06,7,0,", Somalia",15893222.0,0,0,0,0
,Somalia,5.152149,46.199616,2020-04-07,8,0,", Somalia",15893222.0,1,0,0,0
,Somalia,5.152149,46.199616,2020-04-08,12,1,", Somalia",15893222.0,4,1,1,0
,Somalia,5.152149,46.199616,2020-04-09,12,1,", Somalia",15893222.0,0,0,1,0
,Somalia,5.152149,46.199616,2020-04-10,21,1,", Somalia",15893222.0,9,0,2,0
,Somalia,5.152149,46.199616,2020-04-11,21,1,", Somalia",15893222.0,0,0,2,0
,Somalia,5.152149,46.199616,2020-04-12,25,1,", Somalia",15893222.0,4,0,2,0
,Somalia,5.152149,46.199616,2020-04-13,60,2,", Somalia",15893222.0,35,1,7,0
,Somalia,5.152149,46.199616,2020-04-14,60,2,", Somalia",15893222.0,0,0,7,0
,Somalia,5.152149,46.199616,2020-04-15,80,5,", Somalia",15893222.0,20,3,9,0
,Somalia,5.152149,46.199616,2020-04-16,80,5,", Somalia",15893222.0,0,0,9,0
,Somalia,5.152149,46.199616,2020-04-17,116,6,", Somalia",15893222.0,36,1,13,0
,Somalia,5.152149,46.199616,2020-04-18,135,7,", Somalia",15893222.0,19,1,16,0
,Somalia,5.152149,46.199616,2020-04-19,164,7,", Somalia",15893222.0,29,0,19,0
,Somalia,5.152149,46.199616,2020-04-20,237,8,", Somalia",15893222.0,73,1,25,0
